 x    y
 0.11 0.05 
 1.08 0.5 
 1.16 0.54 
 2.75 1.31 
 0.12 0.07 
  0.6 0.28 
 1.55 0.73 
    1 0.46 
 0.61 0.35 
 3.18  1.4 
 2.16 0.91 
 1.82 0.86 
 4.75 2.05 
 1.05 0.58 
 0.92 0.41 
 0.86  0.4 
 0.24 0.14 
 0.01 0.03 
 0.51 0.25 
 2.15 0.96 
 0.53 0.32 
  5.2 2.25 
    0 0.06 
 1.17  0.6 
 6.67  3.1 
 0.04 0.04 
 2.22    1 
 0.05 0.05 
 0.15 0.09 
 0.41 0.25 
 1.45  0.7 
 0.22 0.12 
 2.22    1 
 0.7  0.38 
 2.73 1.63 
 0.02 0.02 
 0.18 0.09 
 0.27 0.14 
 1.25 0.62 
 0.46 0.23 
 0.31 0.17 
 0.75 0.33 
 2.55 1.17 
    1 0.43 
 3.98 1.77 
 1.26 0.58 
  5.4 2.34 
 1.02  0.5 
 3.75 1.62 
  3.7  1.7 
  0.3 0.14 
 0.07 0.06 
 0.58 0.31 
 0.72 0.35 
 0.63 0.29 
 1.55 0.73 
 2.47 1.23 
